数据实例（单位：秒）
F1：
184	184	165	50	152	124	215	150	181	111
107	186	37	47	55	99	187	181	33	100
126	104	152	146	79	107	24	217	54	42
95	60	118	88	211	205	31	168	74	105
130	209	104	217	81	161	154	128	160	154
56	46	220	55	27	133	197	154	59	94
113	217	52	192	149	96	59	106	117	45
138	66	97	137	71	79	144	74	185	217
167	89	137	42	202	196	184	73	139	25
106	83	53	56	105	39	140	115	160	160
148	27	34	84	127	151	102	184	164	214
127	86	42	143	176	105	39	74	51	77
109	126	112	196	124	209	148	212	69	156
78	155	160	34	71	65	154	189	89	177
156	22	141	98	204	21	113	105	113	175
85	177	115	28	56	165	115	51	89	142
59	168	69	204	74	174	58	78	39	136
157	130	106	149	150	156	148	210	62	162
68	44	142	111	112	153	175	91	153	104
189	187	72	143	137	129	194	73	84	44
208	150	116	148	129	150	129	165	125	219
64	42	42	33	101	110	94	173	146	175
207	215	59	48	160	39	126	127	193	117
99	155	169	125	90	50	138	73	29	171
69	109	158	92	168	99	157	161	109	24
87	105	75	60	185	106	198	99	174	100
182	172	96	64	179	210	86	155	108	187
174	54	193	218	123	197	138	51	60	102
170	186	178	84	127	38	43	48	156	120
58	120	50	31	191	133	206	160	137	184

2	9	7	6	4	8	3	0	1	5
8	6	0	2	5	9	7	4	3	1
8	9	7	5	0	1	4	2	6	3
6	9	3	8	1	4	7	5	2	0
6	2	4	5	1	3	8	0	9	7
4	9	8	3	5	1	2	0	6	7
5	6	7	8	3	2	0	9	1	4
1	5	0	3	4	9	6	2	7	8
5	4	2	8	7	9	3	1	0	6
2	8	9	6	7	0	4	1	3	5
3	8	1	9	5	0	6	2	4	7
6	3	9	4	8	5	0	7	1	2
5	9	0	3	8	2	7	6	1	4
9	7	5	2	3	6	1	8	0	4
9	2	5	1	8	3	7	4	0	6
1	6	5	0	2	9	4	3	7	8
5	6	0	3	2	9	8	7	4	1
7	3	9	6	5	4	1	0	8	2
9	2	3	5	4	0	8	1	7	6
0	1	7	8	5	9	4	6	2	3
9	5	0	3	1	6	4	2	8	7
7	9	6	0	5	1	3	2	8	4
7	5	2	9	8	0	4	1	3	6
1	3	4	6	2	9	0	7	5	8
4	6	7	2	9	3	0	1	8	5
3	8	2	9	1	5	6	7	4	0
5	4	2	3	6	9	7	1	8	0
4	0	2	3	5	6	7	9	8	1
7	5	6	0	1	4	3	9	2	8
8	2	5	6	1	7	0	3	9	4
			

F2：
101	217	101	145	51	97	53	172	195	91
158	79	127	187	140	88	80	111	105	92
132	169	105	106	45	25	79	84	151	212
208	112	69	173	172	169	169	42	157	113
63	40	185	56	53	154	199	124	161	51
211	129	156	28	182	170	45	126	86	130
100	104	57	72	25	205	151	207	53	205
179	136	109	72	171	66	33	174	155	164
149	104	99	184	84	183	178	191	122	148
211	109	33	194	147	92	220	65	151	141
98	49	26	105	57	166	95	189	167	135
56	212	74	205	65	95	38	149	57	30
165	90	153	97	146	25	203	181	170	183
97	144	136	127	76	70	111	66	181	218
26	128	38	181	218	34	208	24	157	177
127	198	200	146	48	64	57	29	42	144
208	91	103	217	210	156	218	174	88	153
69	80	157	126	103	141	171	137	131	137
123	37	164	220	91	215	90	198	111	103
64	46	82	166	177	159	22	189	205	175
29	96	161	166	65	74	155	116	145	68
56	186	174	207	42	57	40	118	59	200
40	29	132	175	83	56	88	63	123	202
146	41	99	31	121	107	220	183	118	199
48	99	206	204	163	144	89	208	45	167
150	187	100	170	188	85	131	216	130	87
144	93	172	103	119	159	215	86	188	168
211	27	92	153	77	67	163	145	139	153
30	90	111	69	164	192	77	167	48	188
48	138	94	182	121	118	196	91	110	213

9	0	2	6	4	7	3	5	8	1
0	5	9	3	7	6	8	4	2	1
6	3	1	7	0	5	8	9	2	4
5	3	6	4	0	1	7	8	9	2
1	4	9	5	0	7	3	8	2	6
7	2	6	9	0	8	4	1	5	3
4	3	9	6	5	2	1	0	7	8
8	9	5	7	2	6	0	3	1	4
2	6	1	7	0	4	5	8	9	3
3	1	4	8	2	5	0	9	7	6
6	4	0	5	7	3	8	9	1	2
2	5	9	4	0	1	7	8	6	3
2	4	6	9	3	1	0	5	8	7
5	6	0	4	3	1	7	9	2	8
0	4	7	6	8	9	3	2	1	5
2	3	8	4	0	1	5	7	9	6
6	1	2	8	0	9	3	5	4	7
7	8	9	6	5	3	0	1	2	4
2	0	5	3	6	7	4	8	1	9
0	8	1	9	4	7	3	5	6	2
8	5	0	6	7	9	2	3	4	1
4	6	1	9	5	0	3	8	7	2
8	4	9	5	7	6	0	3	2	1
1	3	8	6	5	7	4	9	0	2
4	1	2	3	5	8	0	7	6	9
6	0	2	4	3	5	7	8	1	9
7	3	2	1	4	9	5	8	6	0
0	3	6	8	9	2	5	7	1	4
6	2	8	1	9	5	7	3	0	4
6	4	8	5	9	3	2	1	7	0


F3：
105	44	120	162	69	178	35	99	21	65
21	58	49	74	55	48	140	201	208	65
117	96	125	73	34	108	55	26	211	107
213	173	22	157	162	150	131	64	175	66
95	199	192	101	84	142	203	202	139	87
191	109	201	27	127	164	56	88	58	85
101	130	30	131	75	69	69	51	212	208
184	166	56	93	58	21	84	160	146	129
108	78	121	173	173	136	170	150	45	121
90	39	50	60	155	107	159	72	22	127
76	210	202	99	25	155	188	215	32	111
137	158	164	151	166	95	137	44	32	216
77	139	213	58	59	89	207	99	75	51
100	95	47	108	39	143	23	135	178	68
110	134	33	120	149	65	188	215	190	122
76	170	68	212	145	141	55	39	72	192
203	160	166	66	136	183	101	218	38	85
123	33	166	132	126	186	192	178	84	111
171	42	42	74	125	215	163	83	79	191
203	148	72	38	188	137	210	33	137	78
186	59	109	99	186	156	62	84	47	155
135	54	50	116	202	131	27	31	182	111
97	178	93	127	163	195	86	151	215	36
138	103	82	73	172	220	58	177	60	219
181	105	166	120	182	92	35	139	203	59
107	170	28	210	173	132	57	120	124	219
191	213	156	101	207	116	67	100	162	132
172	220	213	128	213	44	31	81	137	127
201	129	107	129	163	24	181	49	116	72
94	153	54	76	60	60	86	197	115	101

0	5	2	8	4	7	9	3	6	1
2	6	1	9	3	5	7	0	4	8
9	6	2	4	3	1	5	0	8	7
4	0	3	1	6	9	8	2	5	7
0	1	2	9	4	8	3	5	6	7
7	0	3	4	1	9	5	8	2	6
3	6	2	0	5	4	7	1	9	8
2	4	0	9	1	8	5	7	3	6
5	2	9	8	0	3	6	4	1	7
8	4	6	7	2	0	5	9	3	1
3	9	5	0	1	7	6	2	8	4
8	0	5	6	1	3	7	9	4	2
1	4	3	6	7	8	9	0	5	2
4	2	3	7	5	0	1	9	8	6
9	2	3	5	4	8	7	0	1	6
1	8	3	2	9	4	0	6	7	5
7	0	9	6	8	2	1	3	5	4
2	0	1	6	5	8	3	4	7	9
9	7	3	1	2	4	6	5	8	0
7	8	6	9	3	0	1	4	2	5
2	4	6	0	9	7	3	5	1	8
0	1	4	3	2	8	6	5	9	7
0	3	9	7	1	5	8	2	6	4
9	0	4	1	5	2	7	3	6	8
7	2	4	3	5	1	6	8	0	9
0	6	7	1	2	9	3	4	5	8
5	8	1	6	7	3	2	0	9	4
3	8	5	9	1	6	4	2	7	0
4	5	1	7	0	6	2	9	8	3
2	8	5	3	9	0	7	1	6	4

F4：
198	60	100	219	101	152	201	220	151	42
28	144	134	213	170	153	125	72	213	129
27	160	124	32	199	87	66	43	83	66
151	34	76	77	197	109	172	141	177	43
216	190	31	114	86	147	67	136	141	140
110	28	123	102	42	112	111	131	182	161
195	31	64	112	212	179	111	87	32	169
122	60	106	54	171	94	209	24	186	146
128	151	166	39	196	23	79	56	206	34
137	148	151	193	32	184	126	159	63	129
161	212	109	38	32	146	180	159	90	210
125	211	35	62	176	203	177	80	51	190
177	75	66	85	186	185	135	135	78	160
180	109	110	114	76	156	201	202	170	73
158	47	45	59	50	138	35	185	165	206
119	151	199	128	77	216	28	86	215	94
82	45	204	48	87	200	120	144	137	160
26	126	27	186	88	190	70	137	208	30
31	25	157	140	43	180	144	35	34	48
178	39	68	69	41	192	160	167	151	124
86	153	44	50	24	213	215	45	114	152
79	171	132	106	74	171	200	166	102	208
72	127	211	74	71	206	34	80	139	61
148	180	121	151	180	67	141	43	124	188
205	120	76	151	204	122	215	60	43	80
100	105	83	159	39	101	80	82	42	139
77	52	21	77	131	195	29	201	47	187
181	204	48	121	101	55	136	142	63	124
218	118	159	103	27	79	181	90	37	123
94	168	125	181	184	58	45	185	148	24

7	9	6	1	2	3	8	4	5	0
6	4	3	1	9	7	8	2	0	5
4	8	9	6	5	0	2	3	7	1
6	4	2	9	0	5	8	1	7	3
8	6	5	7	1	3	0	2	4	9
5	9	1	8	4	2	0	7	3	6
4	7	9	0	2	1	6	3	5	8
3	7	2	9	6	1	8	0	5	4
6	7	2	1	9	0	8	4	5	3
7	9	2	1	6	3	5	8	0	4
